State,LandCategory,Region,Region or State,Year,Acre Value
Northeast,Farm Real Estate,Northeast,Region,2007,4920.0
Connecticut,Farm Real Estate,Northeast,State,2007,12700.0
Delaware,Farm Real Estate,Northeast,State,2007,10700.0
Maine,Farm Real Estate,Northeast,State,2007,2230.0
Maryland,Farm Real Estate,Northeast,State,2007,8500.0
Massachusetts,Farm Real Estate,Northeast,State,2007,11900.0
New Hampshire,Farm Real Estate,Northeast,State,2007,4800.0
New Jersey,Farm Real Estate,Northeast,State,2007,15700.0
New York,Farm Real Estate,Northeast,State,2007,2180.0
Pennsylvania,Farm Real Estate,Northeast,State,2007,4970.0
Rhode Island,Farm Real Estate,Northeast,State,2007,16400.0
Vermont,Farm Real Estate,Northeast,State,2007,2740.0
Lake,Farm Real Estate,Lake States,Region,2007,3180.0
Michigan,Farm Real Estate,Lake States,State,2007,3760.0
Minnesota,Farm Real Estate,Lake States,State,2007,2700.0
Wisconsin,Farm Real Estate,Lake States,State,2007,3640.0
Corn Belt,Farm Real Estate,Corn Belt,Region,2007,3290.0
Illinois,Farm Real Estate,Corn Belt,State,2007,4020.0
Indiana,Farm Real Estate,Corn Belt,State,2007,3640.0
Iowa,Farm Real Estate,Corn Belt,State,2007,3370.0
Missouri,Farm Real Estate,Corn Belt,State,2007,2170.0
Ohio,Farm Real Estate,Corn Belt,State,2007,3700.0
Northern Plains,Farm Real Estate,Northern Plains,Region,2007,896.0
Kansas,Farm Real Estate,Northern Plains,State,2007,980.0
Nebraska,Farm Real Estate,Northern Plains,State,2007,1140.0
North Dakota,Farm Real Estate,Northern Plains,State,2007,650.0
South Dakota,Farm Real Estate,Northern Plains,State,2007,770.0
Appalachian,Farm Real Estate,Appalachian,Region,2007,3520.0
Kentucky,Farm Real Estate,Appalachian,State,2007,2740.0
North Carolina,Farm Real Estate,Appalachian,State,2007,4330.0
Tennessee,Farm Real Estate,Appalachian,State,2007,3250.0
Virginia,Farm Real Estate,Appalachian,State,2007,4900.0
West Virginia,Farm Real Estate,Appalachian,State,2007,2300.0
Southeast,Farm Real Estate,Southeast,Region,2007,3890.0
Alabama,Farm Real Estate,Southeast,State,2007,2200.0
Florida,Farm Real Estate,Southeast,State,2007,5500.0
Georgia,Farm Real Estate,Southeast,State,2007,4350.0
South Carolina,Farm Real Estate,Southeast,State,2007,2820.0
Delta,Farm Real Estate,Delta States,Region,2007,2080.0
Arkansas,Farm Real Estate,Delta States,State,2007,2240.0
Louisiana,Farm Real Estate,Delta States,State,2007,1950.0
Mississippi,Farm Real Estate,Delta States,State,2007,1970.0
Southern Plains,Farm Real Estate,Southern Plains,Region,2007,1320.0
Oklahoma,Farm Real Estate,Southern Plains,State,2007,1080.0
Texas,Farm Real Estate,Southern Plains,State,2007,1380.0
Mountain,Farm Real Estate,Mountain,Region,2007,964.0
Arizona,Farm Real Estate,Mountain,State,2007,3200.0
Colorado,Farm Real Estate,Mountain,State,2007,1130.0
Idaho,Farm Real Estate,Mountain,State,2007,2480.0
Montana,Farm Real Estate,Mountain,State,2007,830.0
Nevada,Farm Real Estate,Mountain,State,2007,980.0
New Mexico,Farm Real Estate,Mountain,State,2007,460.0
Utah,Farm Real Estate,Mountain,State,2007,1730.0
Wyoming,Farm Real Estate,Mountain,State,2007,490.0
Pacific,Farm Real Estate,Pacific,Region,2007,3660.0
California,Farm Real Estate,Pacific,State,2007,5960.0
Oregon,Farm Real Estate,Pacific,State,2007,1720.0
Washington,Farm Real Estate,Pacific,State,2007,1850.0
United States,Farm Real Estate,Continental U.S.,Region,2007,2010.0
Northeast,Farm Real Estate,Northeast,Region,2008,4980.0
Connecticut,Farm Real Estate,Northeast,State,2008,12700.0
Delaware,Farm Real Estate,Northeast,State,2008,10300.0
Maine,Farm Real Estate,Northeast,State,2008,2200.0
Maryland,Farm Real Estate,Northeast,State,2008,8000.0
Massachusetts,Farm Real Estate,Northeast,State,2008,12300.0
New Hampshire,Farm Real Estate,Northeast,State,2008,4900.0
New Jersey,Farm Real Estate,Northeast,State,2008,15300.0
New York,Farm Real Estate,Northeast,State,2008,2350.0
Pennsylvania,Farm Real Estate,Northeast,State,2008,5120.0
Rhode Island,Farm Real Estate,Northeast,State,2008,16800.0
Vermont,Farm Real Estate,Northeast,State,2008,2900.0
Lake,Farm Real Estate,Lake States,Region,2008,3410.0
Michigan,Farm Real Estate,Lake States,State,2008,3900.0
Minnesota,Farm Real Estate,Lake States,State,2008,2970.0
Wisconsin,Farm Real Estate,Lake States,State,2008,3850.0
Corn Belt,Farm Real Estate,Corn Belt,Region,2008,3700.0
Illinois,Farm Real Estate,Corn Belt,State,2008,4550.0
Indiana,Farm Real Estate,Corn Belt,State,2008,4100.0
Iowa,Farm Real Estate,Corn Belt,State,2008,3950.0
Missouri,Farm Real Estate,Corn Belt,State,2008,2300.0
Ohio,Farm Real Estate,Corn Belt,State,2008,4020.0
Northern Plains,Farm Real Estate,Northern Plains,Region,2008,1020.0
Kansas,Farm Real Estate,Northern Plains,State,2008,1020.0
Nebraska,Farm Real Estate,Northern Plains,State,2008,1330.0
North Dakota,Farm Real Estate,Northern Plains,State,2008,770.0
South Dakota,Farm Real Estate,Northern Plains,State,2008,920.0
Appalachian,Farm Real Estate,Appalachian,Region,2008,3650.0
Kentucky,Farm Real Estate,Appalachian,State,2008,2850.0
North Carolina,Farm Real Estate,Appalachian,State,2008,4450.0
Tennessee,Farm Real Estate,Appalachian,State,2008,3450.0
Virginia,Farm Real Estate,Appalachian,State,2008,5000.0
West Virginia,Farm Real Estate,Appalachian,State,2008,2500.0
Southeast,Farm Real Estate,Southeast,Region,2008,3940.0
Alabama,Farm Real Estate,Southeast,State,2008,2300.0
Florida,Farm Real Estate,Southeast,State,2008,5640.0
Georgia,Farm Real Estate,Southeast,State,2008,4300.0
South Carolina,Farm Real Estate,Southeast,State,2008,2950.0
Delta,Farm Real Estate,Delta States,Region,2008,2220.0
Arkansas,Farm Real Estate,Delta States,State,2008,2420.0
Louisiana,Farm Real Estate,Delta States,State,2008,2050.0
Mississippi,Farm Real Estate,Delta States,State,2008,2080.0
Southern Plains,Farm Real Estate,Southern Plains,Region,2008,1470.0
Oklahoma,Farm Real Estate,Southern Plains,State,2008,1150.0
Texas,Farm Real Estate,Southern Plains,State,2008,1550.0
Mountain,Farm Real Estate,Mountain,Region,2008,1030.0
Arizona,Farm Real Estate,Mountain,State,2008,3500.0
Colorado,Farm Real Estate,Mountain,State,2008,1150.0
Idaho,Farm Real Estate,Mountain,State,2008,2500.0
Montana,Farm Real Estate,Mountain,State,2008,900.0
Nevada,Farm Real Estate,Mountain,State,2008,1000.0
New Mexico,Farm Real Estate,Mountain,State,2008,500.0
Utah,Farm Real Estate,Mountain,State,2008,1850.0
Wyoming,Farm Real Estate,Mountain,State,2008,560.0
Pacific,Farm Real Estate,Pacific,Region,2008,3970.0
California,Farm Real Estate,Pacific,State,2008,6440.0
Oregon,Farm Real Estate,Pacific,State,2008,1900.0
Washington,Farm Real Estate,Pacific,State,2008,2020.0
United States,Farm Real Estate,Continental U.S.,Region,2008,2170.0
Northeast,Farm Real Estate,Northeast,Region,2009,4830.0
Connecticut,Farm Real Estate,Northeast,State,2009,12000.0
Delaware,Farm Real Estate,Northeast,State,2009,8900.0
Maine,Farm Real Estate,Northeast,State,2009,2100.0
Maryland,Farm Real Estate,Northeast,State,2009,7500.0
Massachusetts,Farm Real Estate,Northeast,State,2009,12000.0
New Hampshire,Farm Real Estate,Northeast,State,2009,4800.0
New Jersey,Farm Real Estate,Northeast,State,2009,13800.0
New York,Farm Real Estate,Northeast,State,2009,2400.0
Pennsylvania,Farm Real Estate,Northeast,State,2009,5100.0
Rhode Island,Farm Real Estate,Northeast,State,2009,15300.0
Vermont,Farm Real Estate,Northeast,State,2009,2800.0
Lake,Farm Real Estate,Lake States,Region,2009,3300.0
Michigan,Farm Real Estate,Lake States,State,2009,3750.0
Minnesota,Farm Real Estate,Lake States,State,2009,2870.0
Wisconsin,Farm Real Estate,Lake States,State,2009,3750.0
Corn Belt,Farm Real Estate,Corn Belt,Region,2009,3620.0
Illinois,Farm Real Estate,Corn Belt,State,2009,4530.0
Indiana,Farm Real Estate,Corn Belt,State,2009,4020.0
Iowa,Farm Real Estate,Corn Belt,State,2009,3850.0
Missouri,Farm Real Estate,Corn Belt,State,2009,2200.0
Ohio,Farm Real Estate,Corn Belt,State,2009,3880.0
Northern Plains,Farm Real Estate,Northern Plains,Region,2009,1020.0
Kansas,Farm Real Estate,Northern Plains,State,2009,1030.0
Nebraska,Farm Real Estate,Northern Plains,State,2009,1340.0
North Dakota,Farm Real Estate,Northern Plains,State,2009,780.0
South Dakota,Farm Real Estate,Northern Plains,State,2009,890.0
Appalachian,Farm Real Estate,Appalachian,Region,2009,3530.0
Kentucky,Farm Real Estate,Appalachian,State,2009,2850.0
North Carolina,Farm Real Estate,Appalachian,State,2009,4250.0
Tennessee,Farm Real Estate,Appalachian,State,2009,3300.0
Virginia,Farm Real Estate,Appalachian,State,2009,4800.0
West Virginia,Farm Real Estate,Appalachian,State,2009,2400.0
Southeast,Farm Real Estate,Southeast,Region,2009,3690.0
Alabama,Farm Real Estate,Southeast,State,2009,2150.0
Florida,Farm Real Estate,Southeast,State,2009,5150.0
Georgia,Farm Real Estate,Southeast,State,2009,4100.0
South Carolina,Farm Real Estate,Southeast,State,2009,2900.0
Delta,Farm Real Estate,Delta States,Region,2009,2160.0
Arkansas,Farm Real Estate,Delta States,State,2009,2390.0
Louisiana,Farm Real Estate,Delta States,State,2009,1970.0
Mississippi,Farm Real Estate,Delta States,State,2009,2000.0
Southern Plains,Farm Real Estate,Southern Plains,Region,2009,1470.0
Oklahoma,Farm Real Estate,Southern Plains,State,2009,1170.0
Texas,Farm Real Estate,Southern Plains,State,2009,1550.0
Mountain,Farm Real Estate,Mountain,Region,2009,922.0
Arizona,Farm Real Estate,Mountain,State,2009,3500.0
Colorado,Farm Real Estate,Mountain,State,2009,1100.0
Idaho,Farm Real Estate,Mountain,State,2009,2200.0
Montana,Farm Real Estate,Mountain,State,2009,700.0
Nevada,Farm Real Estate,Mountain,State,2009,1000.0
New Mexico,Farm Real Estate,Mountain,State,2009,480.0
Utah,Farm Real Estate,Mountain,State,2009,1800.0
Wyoming,Farm Real Estate,Mountain,State,2009,520.0
Pacific,Farm Real Estate,Pacific,Region,2009,4010.0
California,Farm Real Estate,Pacific,State,2009,6600.0
Oregon,Farm Real Estate,Pacific,State,2009,1800.0
Washington,Farm Real Estate,Pacific,State,2009,2000.0
United States,Farm Real Estate,Continental U.S.,Region,2009,2110.0
Northeast,Farm Real Estate,Northeast,Region,2010,4690.0
Connecticut,Farm Real Estate,Northeast,State,2010,11500.0
Delaware,Farm Real Estate,Northeast,State,2010,8130.0
Maine,Farm Real Estate,Northeast,State,2010,2050.0
Maryland,Farm Real Estate,Northeast,State,2010,6980.0
Massachusetts,Farm Real Estate,Northeast,State,2010,11200.0
New Hampshire,Farm Real Estate,Northeast,State,2010,4690.0
New Jersey,Farm Real Estate,Northeast,State,2010,13100.0
New York,Farm Real Estate,Northeast,State,2010,2400.0
Pennsylvania,Farm Real Estate,Northeast,State,2010,5050.0
Rhode Island,Farm Real Estate,Northeast,State,2010,14600.0
Vermont,Farm Real Estate,Northeast,State,2010,2900.0
Lake,Farm Real Estate,Lake States,Region,2010,3220.0
Michigan,Farm Real Estate,Lake States,State,2010,3490.0
Minnesota,Farm Real Estate,Lake States,State,2010,2870.0
Wisconsin,Farm Real Estate,Lake States,State,2010,3650.0
Corn Belt,Farm Real Estate,Corn Belt,Region,2010,3830.0
Illinois,Farm Real Estate,Corn Belt,State,2010,4720.0
Indiana,Farm Real Estate,Corn Belt,State,2010,4170.0
Iowa,Farm Real Estate,Corn Belt,State,2010,4350.0
Missouri,Farm Real Estate,Corn Belt,State,2010,2270.0
Ohio,Farm Real Estate,Corn Belt,State,2010,3850.0
Northern Plains,Farm Real Estate,Northern Plains,Region,2010,1080.0
Kansas,Farm Real Estate,Northern Plains,State,2010,1060.0
Nebraska,Farm Real Estate,Northern Plains,State,2010,1470.0
North Dakota,Farm Real Estate,Northern Plains,State,2010,821.0
South Dakota,Farm Real Estate,Northern Plains,State,2010,945.0
Appalachian,Farm Real Estate,Appalachian,Region,2010,3480.0
Kentucky,Farm Real Estate,Appalachian,State,2010,2780.0
North Carolina,Farm Real Estate,Appalachian,State,2010,4120.0
Tennessee,Farm Real Estate,Appalachian,State,2010,3460.0
Virginia,Farm Real Estate,Appalachian,State,2010,4500.0
West Virginia,Farm Real Estate,Appalachian,State,2010,2330.0
Southeast,Farm Real Estate,Southeast,Region,2010,3630.0
Alabama,Farm Real Estate,Southeast,State,2010,2300.0
Florida,Farm Real Estate,Southeast,State,2010,5090.0
Georgia,Farm Real Estate,Southeast,State,2010,3770.0
South Carolina,Farm Real Estate,Southeast,State,2010,2950.0
Delta,Farm Real Estate,Delta States,Region,2010,2210.0
Arkansas,Farm Real Estate,Delta States,State,2010,2400.0
Louisiana,Farm Real Estate,Delta States,State,2010,2050.0
Mississippi,Farm Real Estate,Delta States,State,2010,2080.0
Southern Plains,Farm Real Estate,Southern Plains,Region,2010,1520.0
Oklahoma,Farm Real Estate,Southern Plains,State,2010,1200.0
Texas,Farm Real Estate,Southern Plains,State,2010,1600.0
Mountain,Farm Real Estate,Mountain,Region,2010,902.0
Arizona,Farm Real Estate,Mountain,State,2010,3390.0
Colorado,Farm Real Estate,Mountain,State,2010,1080.0
Idaho,Farm Real Estate,Mountain,State,2010,2110.0
Montana,Farm Real Estate,Mountain,State,2010,700.0
Nevada,Farm Real Estate,Mountain,State,2010,997.0
New Mexico,Farm Real Estate,Mountain,State,2010,460.0
Utah,Farm Real Estate,Mountain,State,2010,1810.0
Wyoming,Farm Real Estate,Mountain,State,2010,540.0
Pacific,Farm Real Estate,Pacific,Region,2010,4070.0
California,Farm Real Estate,Pacific,State,2010,6660.0
Oregon,Farm Real Estate,Pacific,State,2010,1830.0
Washington,Farm Real Estate,Pacific,State,2010,2030.0
United States,Farm Real Estate,Continental U.S.,Region,2010,2150.0
Northeast,Farm Real Estate,Northeast,Region,2011,4690.0
Connecticut,Farm Real Estate,Northeast,State,2011,11600.0
Delaware,Farm Real Estate,Northeast,State,2011,8140.0
Maine,Farm Real Estate,Northeast,State,2011,2080.0
Maryland,Farm Real Estate,Northeast,State,2011,6870.0
Massachusetts,Farm Real Estate,Northeast,State,2011,10900.0
New Hampshire,Farm Real Estate,Northeast,State,2011,4560.0
New Jersey,Farm Real Estate,Northeast,State,2011,12800.0
New York,Farm Real Estate,Northeast,State,2011,2450.0
Pennsylvania,Farm Real Estate,Northeast,State,2011,5070.0
Rhode Island,Farm Real Estate,Northeast,State,2011,14400.0
Vermont,Farm Real Estate,Northeast,State,2011,2980.0
Lake,Farm Real Estate,Lake States,Region,2011,3450.0
Michigan,Farm Real Estate,Lake States,State,2011,3600.0
Minnesota,Farm Real Estate,Lake States,State,2011,3160.0
Wisconsin,Farm Real Estate,Lake States,State,2011,3880.0
Corn Belt,Farm Real Estate,Corn Belt,Region,2011,4460.0
Illinois,Farm Real Estate,Corn Belt,State,2011,5390.0
Indiana,Farm Real Estate,Corn Belt,State,2011,5070.0
Iowa,Farm Real Estate,Corn Belt,State,2011,5410.0
Missouri,Farm Real Estate,Corn Belt,State,2011,2420.0
Ohio,Farm Real Estate,Corn Belt,State,2011,4160.0
Northern Plains,Farm Real Estate,Northern Plains,Region,2011,1290.0
Kansas,Farm Real Estate,Northern Plains,State,2011,1240.0
Nebraska,Farm Real Estate,Northern Plains,State,2011,1840.0
North Dakota,Farm Real Estate,Northern Plains,State,2011,930.0
South Dakota,Farm Real Estate,Northern Plains,State,2011,1090.0
Appalachian,Farm Real Estate,Appalachian,Region,2011,3520.0
Kentucky,Farm Real Estate,Appalachian,State,2011,2750.0
North Carolina,Farm Real Estate,Appalachian,State,2011,4340.0
Tennessee,Farm Real Estate,Appalachian,State,2011,3510.0
Virginia,Farm Real Estate,Appalachian,State,2011,4350.0
West Virginia,Farm Real Estate,Appalachian,State,2011,2580.0
Southeast,Farm Real Estate,Southeast,Region,2011,3610.0
Alabama,Farm Real Estate,Southeast,State,2011,2340.0
Florida,Farm Real Estate,Southeast,State,2011,5130.0
Georgia,Farm Real Estate,Southeast,State,2011,3610.0
South Carolina,Farm Real Estate,Southeast,State,2011,2980.0
Delta,Farm Real Estate,Delta States,Region,2011,2300.0
Arkansas,Farm Real Estate,Delta States,State,2011,2440.0
Louisiana,Farm Real Estate,Delta States,State,2011,2200.0
Mississippi,Farm Real Estate,Delta States,State,2011,2200.0
Southern Plains,Farm Real Estate,Southern Plains,Region,2011,1580.0
Oklahoma,Farm Real Estate,Southern Plains,State,2011,1260.0
Texas,Farm Real Estate,Southern Plains,State,2011,1670.0
Mountain,Farm Real Estate,Mountain,Region,2011,899.0
Arizona,Farm Real Estate,Mountain,State,2011,3330.0
Colorado,Farm Real Estate,Mountain,State,2011,1100.0
Idaho,Farm Real Estate,Mountain,State,2011,2060.0
Montana,Farm Real Estate,Mountain,State,2011,710.0
Nevada,Farm Real Estate,Mountain,State,2011,995.0
New Mexico,Farm Real Estate,Mountain,State,2011,470.0
Utah,Farm Real Estate,Mountain,State,2011,1800.0
Wyoming,Farm Real Estate,Mountain,State,2011,560.0
Pacific,Farm Real Estate,Pacific,Region,2011,4100.0
California,Farm Real Estate,Pacific,State,2011,6670.0
Oregon,Farm Real Estate,Pacific,State,2011,1900.0
Washington,Farm Real Estate,Pacific,State,2011,2060.0
United States,Farm Real Estate,Continental U.S.,Region,2011,2300.0
Northeast,Farm Real Estate,Northeast,Region,2012,4790.0
Connecticut,Farm Real Estate,Northeast,State,2012,11200.0
Delaware,Farm Real Estate,Northeast,State,2012,8150.0
Maine,Farm Real Estate,Northeast,State,2012,2070.0
Maryland,Farm Real Estate,Northeast,State,2012,6760.0
Massachusetts,Farm Real Estate,Northeast,State,2012,10400.0
New Hampshire,Farm Real Estate,Northeast,State,2012,4440.0
New Jersey,Farm Real Estate,Northeast,State,2012,12300.0
New York,Farm Real Estate,Northeast,State,2012,2650.0
Pennsylvania,Farm Real Estate,Northeast,State,2012,5300.0
Rhode Island,Farm Real Estate,Northeast,State,2012,13800.0
Vermont,Farm Real Estate,Northeast,State,2012,3060.0
Lake,Farm Real Estate,Lake States,Region,2012,3880.0
Michigan,Farm Real Estate,Lake States,State,2012,3890.0
Minnesota,Farm Real Estate,Lake States,State,2012,3740.0
Wisconsin,Farm Real Estate,Lake States,State,2012,4110.0
Corn Belt,Farm Real Estate,Corn Belt,Region,2012,5190.0
Illinois,Farm Real Estate,Corn Belt,State,2012,6210.0
Indiana,Farm Real Estate,Corn Belt,State,2012,5840.0
Iowa,Farm Real Estate,Corn Belt,State,2012,6530.0
Missouri,Farm Real Estate,Corn Belt,State,2012,2710.0
Ohio,Farm Real Estate,Corn Belt,State,2012,4640.0
Northern Plains,Farm Real Estate,Northern Plains,Region,2012,1620.0
Kansas,Farm Real Estate,Northern Plains,State,2012,1510.0
Nebraska,Farm Real Estate,Northern Plains,State,2012,2420.0
North Dakota,Farm Real Estate,Northern Plains,State,2012,1160.0
South Dakota,Farm Real Estate,Northern Plains,State,2012,1330.0
Appalachian,Farm Real Estate,Appalachian,Region,2012,3530.0
Kentucky,Farm Real Estate,Appalachian,State,2012,2840.0
North Carolina,Farm Real Estate,Appalachian,State,2012,4330.0
Tennessee,Farm Real Estate,Appalachian,State,2012,3520.0
Virginia,Farm Real Estate,Appalachian,State,2012,4260.0
West Virginia,Farm Real Estate,Appalachian,State,2012,2540.0
Southeast,Farm Real Estate,Southeast,Region,2012,3530.0
Alabama,Farm Real Estate,Southeast,State,2012,2390.0
Florida,Farm Real Estate,Southeast,State,2012,5160.0
Georgia,Farm Real Estate,Southeast,State,2012,3260.0
South Carolina,Farm Real Estate,Southeast,State,2012,3010.0
Delta,Farm Real Estate,Delta States,Region,2012,2440.0
Arkansas,Farm Real Estate,Delta States,State,2012,2620.0
Louisiana,Farm Real Estate,Delta States,State,2012,2400.0
Mississippi,Farm Real Estate,Delta States,State,2012,2250.0
Southern Plains,Farm Real Estate,Southern Plains,Region,2012,1620.0
Oklahoma,Farm Real Estate,Southern Plains,State,2012,1370.0
Texas,Farm Real Estate,Southern Plains,State,2012,1690.0
Mountain,Farm Real Estate,Mountain,Region,2012,953.0
Arizona,Farm Real Estate,Mountain,State,2012,3370.0
Colorado,Farm Real Estate,Mountain,State,2012,1170.0
Idaho,Farm Real Estate,Mountain,State,2012,2140.0
Montana,Farm Real Estate,Mountain,State,2012,760.0
Nevada,Farm Real Estate,Mountain,State,2012,1040.0
New Mexico,Farm Real Estate,Mountain,State,2012,520.0
Utah,Farm Real Estate,Mountain,State,2012,1800.0
Wyoming,Farm Real Estate,Mountain,State,2012,590.0
Pacific,Farm Real Estate,Pacific,Region,2012,4270.0
California,Farm Real Estate,Pacific,State,2012,6880.0
Oregon,Farm Real Estate,Pacific,State,2012,1960.0
Washington,Farm Real Estate,Pacific,State,2012,2260.0
United States,Farm Real Estate,Continental U.S.,Region,2012,2520.0
Northeast,Farm Real Estate,Northeast,Region,2013,4850.0
Connecticut,Farm Real Estate,Northeast,State,2013,11100.0
Delaware,Farm Real Estate,Northeast,State,2013,8170.0
Maine,Farm Real Estate,Northeast,State,2013,2100.0
Maryland,Farm Real Estate,Northeast,State,2013,6930.0
Massachusetts,Farm Real Estate,Northeast,State,2013,10400.0
New Hampshire,Farm Real Estate,Northeast,State,2013,4310.0
New Jersey,Farm Real Estate,Northeast,State,2013,12800.0
New York,Farm Real Estate,Northeast,State,2013,2600.0
Pennsylvania,Farm Real Estate,Northeast,State,2013,5430.0
Rhode Island,Farm Real Estate,Northeast,State,2013,13800.0
Vermont,Farm Real Estate,Northeast,State,2013,3200.0
Lake,Farm Real Estate,Lake States,Region,2013,4240.0
Michigan,Farm Real Estate,Lake States,State,2013,4300.0
Minnesota,Farm Real Estate,Lake States,State,2013,4300.0
Wisconsin,Farm Real Estate,Lake States,State,2013,4100.0
Corn Belt,Farm Real Estate,Corn Belt,Region,2013,5880.0
Illinois,Farm Real Estate,Corn Belt,State,2013,7100.0
Indiana,Farm Real Estate,Corn Belt,State,2013,6400.0
Iowa,Farm Real Estate,Corn Belt,State,2013,7700.0
Missouri,Farm Real Estate,Corn Belt,State,2013,2850.0
Ohio,Farm Real Estate,Corn Belt,State,2013,5100.0
Northern Plains,Farm Real Estate,Northern Plains,Region,2013,1960.0
Kansas,Farm Real Estate,Northern Plains,State,2013,1750.0
Nebraska,Farm Real Estate,Northern Plains,State,2013,2800.0
North Dakota,Farm Real Estate,Northern Plains,State,2013,1550.0
South Dakota,Farm Real Estate,Northern Plains,State,2013,1690.0
Appalachian,Farm Real Estate,Appalachian,Region,2013,3610.0
Kentucky,Farm Real Estate,Appalachian,State,2013,3020.0
North Carolina,Farm Real Estate,Appalachian,State,2013,4340.0
Tennessee,Farm Real Estate,Appalachian,State,2013,3570.0
Virginia,Farm Real Estate,Appalachian,State,2013,4310.0
West Virginia,Farm Real Estate,Appalachian,State,2013,2550.0
Southeast,Farm Real Estate,Southeast,Region,2013,3590.0
Alabama,Farm Real Estate,Southeast,State,2013,2500.0
Florida,Farm Real Estate,Southeast,State,2013,5200.0
Georgia,Farm Real Estate,Southeast,State,2013,3300.0
South Carolina,Farm Real Estate,Southeast,State,2013,2980.0
Delta,Farm Real Estate,Delta States,Region,2013,2520.0
Arkansas,Farm Real Estate,Delta States,State,2013,2700.0
Louisiana,Farm Real Estate,Delta States,State,2013,2550.0
Mississippi,Farm Real Estate,Delta States,State,2013,2270.0
Southern Plains,Farm Real Estate,Southern Plains,Region,2013,1630.0
Oklahoma,Farm Real Estate,Southern Plains,State,2013,1450.0
Texas,Farm Real Estate,Southern Plains,State,2013,1680.0
Mountain,Farm Real Estate,Mountain,Region,2013,1010.0
Arizona,Farm Real Estate,Mountain,State,2013,3500.0
Colorado,Farm Real Estate,Mountain,State,2013,1280.0
Idaho,Farm Real Estate,Mountain,State,2013,2220.0
Montana,Farm Real Estate,Mountain,State,2013,790.0
Nevada,Farm Real Estate,Mountain,State,2013,1040.0
New Mexico,Farm Real Estate,Mountain,State,2013,500.0
Utah,Farm Real Estate,Mountain,State,2013,1900.0
Wyoming,Farm Real Estate,Mountain,State,2013,600.0
Pacific,Farm Real Estate,Pacific,Region,2013,4290.0
California,Farm Real Estate,Pacific,State,2013,6900.0
