State,LandCategory,Region,Region or State,Year,Acre Value
Oregon,Farm Real Estate,Pacific,State,2013,1970.0
Washington,Farm Real Estate,Pacific,State,2013,2300.0
United States,Farm Real Estate,Continental U.S.,Region,2013,2730.0
Northeast,Farm Real Estate,Northeast,Region,2014,4930.0
Connecticut,Farm Real Estate,Northeast,State,2014,11200.0
Delaware,Farm Real Estate,Northeast,State,2014,8180.0
Maine,Farm Real Estate,Northeast,State,2014,2080.0
Maryland,Farm Real Estate,Northeast,State,2014,6900.0
Massachusetts,Farm Real Estate,Northeast,State,2014,10400.0
New Hampshire,Farm Real Estate,Northeast,State,2014,4280.0
New Jersey,Farm Real Estate,Northeast,State,2014,12800.0
New York,Farm Real Estate,Northeast,State,2014,2700.0
Pennsylvania,Farm Real Estate,Northeast,State,2014,5600.0
Rhode Island,Farm Real Estate,Northeast,State,2014,13700.0
Vermont,Farm Real Estate,Northeast,State,2014,3260.0
Lake,Farm Real Estate,Lake States,Region,2014,4640.0
Michigan,Farm Real Estate,Lake States,State,2014,4700.0
Minnesota,Farm Real Estate,Lake States,State,2014,4750.0
Wisconsin,Farm Real Estate,Lake States,State,2014,4400.0
Corn Belt,Farm Real Estate,Corn Belt,Region,2014,6370.0
Illinois,Farm Real Estate,Corn Belt,State,2014,7520.0
Indiana,Farm Real Estate,Corn Belt,State,2014,6950.0
Iowa,Farm Real Estate,Corn Belt,State,2014,8500.0
Missouri,Farm Real Estate,Corn Belt,State,2014,3100.0
Ohio,Farm Real Estate,Corn Belt,State,2014,5550.0
Northern Plains,Farm Real Estate,Northern Plains,Region,2014,2280.0
Kansas,Farm Real Estate,Northern Plains,State,2014,2050.0
Nebraska,Farm Real Estate,Northern Plains,State,2014,3120.0
North Dakota,Farm Real Estate,Northern Plains,State,2014,1820.0
South Dakota,Farm Real Estate,Northern Plains,State,2014,2070.0
Appalachian,Farm Real Estate,Appalachian,Region,2014,3690.0
Kentucky,Farm Real Estate,Appalachian,State,2014,3150.0
North Carolina,Farm Real Estate,Appalachian,State,2014,4510.0
Tennessee,Farm Real Estate,Appalachian,State,2014,3600.0
Virginia,Farm Real Estate,Appalachian,State,2014,4320.0
West Virginia,Farm Real Estate,Appalachian,State,2014,2560.0
Southeast,Farm Real Estate,Southeast,Region,2014,3630.0
Alabama,Farm Real Estate,Southeast,State,2014,2600.0
Florida,Farm Real Estate,Southeast,State,2014,5250.0
Georgia,Farm Real Estate,Southeast,State,2014,3300.0
South Carolina,Farm Real Estate,Southeast,State,2014,3010.0
Delta,Farm Real Estate,Delta States,Region,2014,2640.0
Arkansas,Farm Real Estate,Delta States,State,2014,2850.0
Louisiana,Farm Real Estate,Delta States,State,2014,2670.0
Mississippi,Farm Real Estate,Delta States,State,2014,2340.0
Southern Plains,Farm Real Estate,Southern Plains,Region,2014,1790.0
Oklahoma,Farm Real Estate,Southern Plains,State,2014,1580.0
Texas,Farm Real Estate,Southern Plains,State,2014,1850.0
Mountain,Farm Real Estate,Mountain,Region,2014,1070.0
Arizona,Farm Real Estate,Mountain,State,2014,3740.0
Colorado,Farm Real Estate,Mountain,State,2014,1350.0
Idaho,Farm Real Estate,Mountain,State,2014,2360.0
Montana,Farm Real Estate,Mountain,State,2014,860.0
Nevada,Farm Real Estate,Mountain,State,2014,1080.0
New Mexico,Farm Real Estate,Mountain,State,2014,520.0
Utah,Farm Real Estate,Mountain,State,2014,2030.0
Wyoming,Farm Real Estate,Mountain,State,2014,630.0
Pacific,Farm Real Estate,Pacific,Region,2014,4520.0
California,Farm Real Estate,Pacific,State,2014,7300.0
Oregon,Farm Real Estate,Pacific,State,2014,2050.0
Washington,Farm Real Estate,Pacific,State,2014,2500.0
United States,Farm Real Estate,Continental U.S.,Region,2014,2950.0
Northeast,Farm Real Estate,Northeast,Region,2015,5020.0
Connecticut,Farm Real Estate,Northeast,State,2015,11300.0
Delaware,Farm Real Estate,Northeast,State,2015,8180.0
Maine,Farm Real Estate,Northeast,State,2015,2090.0
Maryland,Farm Real Estate,Northeast,State,2015,7000.0
Massachusetts,Farm Real Estate,Northeast,State,2015,10400.0
New Hampshire,Farm Real Estate,Northeast,State,2015,4280.0
New Jersey,Farm Real Estate,Northeast,State,2015,13000.0
New York,Farm Real Estate,Northeast,State,2015,3000.0
Pennsylvania,Farm Real Estate,Northeast,State,2015,5500.0
Rhode Island,Farm Real Estate,Northeast,State,2015,13800.0
Vermont,Farm Real Estate,Northeast,State,2015,3300.0
Lake,Farm Real Estate,Lake States,Region,2015,4740.0
Michigan,Farm Real Estate,Lake States,State,2015,4900.0
Minnesota,Farm Real Estate,Lake States,State,2015,4700.0
Wisconsin,Farm Real Estate,Lake States,State,2015,4700.0
Corn Belt,Farm Real Estate,Corn Belt,Region,2015,6350.0
Illinois,Farm Real Estate,Corn Belt,State,2015,7500.0
Indiana,Farm Real Estate,Corn Belt,State,2015,7150.0
Iowa,Farm Real Estate,Corn Belt,State,2015,8000.0
Missouri,Farm Real Estate,Corn Belt,State,2015,3350.0
Ohio,Farm Real Estate,Corn Belt,State,2015,5750.0
Northern Plains,Farm Real Estate,Northern Plains,Region,2015,2340.0
Kansas,Farm Real Estate,Northern Plains,State,2015,2030.0
Nebraska,Farm Real Estate,Northern Plains,State,2015,3050.0
North Dakota,Farm Real Estate,Northern Plains,State,2015,1920.0
South Dakota,Farm Real Estate,Northern Plains,State,2015,2320.0
Appalachian,Farm Real Estate,Appalachian,Region,2015,3730.0
Kentucky,Farm Real Estate,Appalachian,State,2015,3250.0
North Carolina,Farm Real Estate,Appalachian,State,2015,4500.0
Tennessee,Farm Real Estate,Appalachian,State,2015,3650.0
Virginia,Farm Real Estate,Appalachian,State,2015,4320.0
West Virginia,Farm Real Estate,Appalachian,State,2015,2600.0
Southeast,Farm Real Estate,Southeast,Region,2015,3670.0
Alabama,Farm Real Estate,Southeast,State,2015,2630.0
Florida,Farm Real Estate,Southeast,State,2015,5400.0
Georgia,Farm Real Estate,Southeast,State,2015,3270.0
South Carolina,Farm Real Estate,Southeast,State,2015,3010.0
Delta,Farm Real Estate,Delta States,Region,2015,2780.0
Arkansas,Farm Real Estate,Delta States,State,2015,3050.0
Louisiana,Farm Real Estate,Delta States,State,2015,2800.0
Mississippi,Farm Real Estate,Delta States,State,2015,2420.0
Southern Plains,Farm Real Estate,Southern Plains,Region,2015,1890.0
Oklahoma,Farm Real Estate,Southern Plains,State,2015,1700.0
Texas,Farm Real Estate,Southern Plains,State,2015,1940.0
Mountain,Farm Real Estate,Mountain,Region,2015,1100.0
Arizona,Farm Real Estate,Mountain,State,2015,3780.0
Colorado,Farm Real Estate,Mountain,State,2015,1440.0
Idaho,Farm Real Estate,Mountain,State,2015,2470.0
Montana,Farm Real Estate,Mountain,State,2015,890.0
Nevada,Farm Real Estate,Mountain,State,2015,1130.0
New Mexico,Farm Real Estate,Mountain,State,2015,510.0
Utah,Farm Real Estate,Mountain,State,2015,2050.0
Wyoming,Farm Real Estate,Mountain,State,2015,660.0
Pacific,Farm Real Estate,Pacific,Region,2015,4780.0
California,Farm Real Estate,Pacific,State,2015,7700.0
Oregon,Farm Real Estate,Pacific,State,2015,2120.0
Washington,Farm Real Estate,Pacific,State,2015,2700.0
United States,Farm Real Estate,Continental U.S.,Region,2015,3020.0
Northeast,Farm Real Estate,Northeast,Region,2016,5010.0
Connecticut,Farm Real Estate,Northeast,State,2016,11200.0
Delaware,Farm Real Estate,Northeast,State,2016,8400.0
Maine,Farm Real Estate,Northeast,State,2016,2090.0
Maryland,Farm Real Estate,Northeast,State,2016,7060.0
Massachusetts,Farm Real Estate,Northeast,State,2016,10400.0
New Hampshire,Farm Real Estate,Northeast,State,2016,4350.0
New Jersey,Farm Real Estate,Northeast,State,2016,12800.0
New York,Farm Real Estate,Northeast,State,2016,2980.0
Pennsylvania,Farm Real Estate,Northeast,State,2016,5500.0
Rhode Island,Farm Real Estate,Northeast,State,2016,13800.0
Vermont,Farm Real Estate,Northeast,State,2016,3320.0
Lake,Farm Real Estate,Lake States,Region,2016,4730.0
Michigan,Farm Real Estate,Lake States,State,2016,4800.0
Minnesota,Farm Real Estate,Lake States,State,2016,4700.0
Wisconsin,Farm Real Estate,Lake States,State,2016,4750.0
Corn Belt,Farm Real Estate,Corn Belt,Region,2016,6290.0
Illinois,Farm Real Estate,Corn Belt,State,2016,7400.0
Indiana,Farm Real Estate,Corn Belt,State,2016,7150.0
Iowa,Farm Real Estate,Corn Belt,State,2016,7850.0
Missouri,Farm Real Estate,Corn Belt,State,2016,3400.0
Ohio,Farm Real Estate,Corn Belt,State,2016,5700.0
Northern Plains,Farm Real Estate,Northern Plains,Region,2016,2240.0
Kansas,Farm Real Estate,Northern Plains,State,2016,1880.0
Nebraska,Farm Real Estate,Northern Plains,State,2016,2950.0
North Dakota,Farm Real Estate,Northern Plains,State,2016,1830.0
South Dakota,Farm Real Estate,Northern Plains,State,2016,2250.0
Appalachian,Farm Real Estate,Appalachian,Region,2016,3760.0
Kentucky,Farm Real Estate,Appalachian,State,2016,3350.0
North Carolina,Farm Real Estate,Appalachian,State,2016,4450.0
Tennessee,Farm Real Estate,Appalachian,State,2016,3700.0
Virginia,Farm Real Estate,Appalachian,State,2016,4300.0
West Virginia,Farm Real Estate,Appalachian,State,2016,2570.0
Southeast,Farm Real Estate,Southeast,Region,2016,3730.0
Alabama,Farm Real Estate,Southeast,State,2016,2700.0
Florida,Farm Real Estate,Southeast,State,2016,5400.0
Georgia,Farm Real Estate,Southeast,State,2016,3400.0
South Carolina,Farm Real Estate,Southeast,State,2016,3000.0
Delta,Farm Real Estate,Delta States,Region,2016,2820.0
Arkansas,Farm Real Estate,Delta States,State,2016,3050.0
Louisiana,Farm Real Estate,Delta States,State,2016,2900.0
Mississippi,Farm Real Estate,Delta States,State,2016,2470.0
Southern Plains,Farm Real Estate,Southern Plains,Region,2016,1930.0
Oklahoma,Farm Real Estate,Southern Plains,State,2016,1800.0
Texas,Farm Real Estate,Southern Plains,State,2016,1960.0
Mountain,Farm Real Estate,Mountain,Region,2016,1110.0
Arizona,Farm Real Estate,Mountain,State,2016,3800.0
Colorado,Farm Real Estate,Mountain,State,2016,1420.0
Idaho,Farm Real Estate,Mountain,State,2016,2500.0
Montana,Farm Real Estate,Mountain,State,2016,900.0
Nevada,Farm Real Estate,Mountain,State,2016,1110.0
New Mexico,Farm Real Estate,Mountain,State,2016,520.0
Utah,Farm Real Estate,Mountain,State,2016,2040.0
Wyoming,Farm Real Estate,Mountain,State,2016,660.0
Pacific,Farm Real Estate,Pacific,Region,2016,4940.0
California,Farm Real Estate,Pacific,State,2016,7900.0
Oregon,Farm Real Estate,Pacific,State,2016,2200.0
Washington,Farm Real Estate,Pacific,State,2016,2850.0
United States,Farm Real Estate,Continental U.S.,Region,2016,3010.0
Northeast,Farm Real Estate,Northeast,Region,2017,5050.0
Connecticut,Farm Real Estate,Northeast,State,2017,11200.0
Delaware,Farm Real Estate,Northeast,State,2017,8400.0
Maine,Farm Real Estate,Northeast,State,2017,2200.0
Maryland,Farm Real Estate,Northeast,State,2017,7060.0
Massachusetts,Farm Real Estate,Northeast,State,2017,10400.0
New Hampshire,Farm Real Estate,Northeast,State,2017,4500.0
New Jersey,Farm Real Estate,Northeast,State,2017,12800.0
New York,Farm Real Estate,Northeast,State,2017,2980.0
Pennsylvania,Farm Real Estate,Northeast,State,2017,5600.0
Rhode Island,Farm Real Estate,Northeast,State,2017,13800.0
Vermont,Farm Real Estate,Northeast,State,2017,3360.0
Lake,Farm Real Estate,Lake States,Region,2017,4890.0
Michigan,Farm Real Estate,Lake States,State,2017,4800.0
Minnesota,Farm Real Estate,Lake States,State,2017,4750.0
Wisconsin,Farm Real Estate,Lake States,State,2017,5200.0
Corn Belt,Farm Real Estate,Corn Belt,Region,2017,6260.0
Illinois,Farm Real Estate,Corn Belt,State,2017,7300.0
Indiana,Farm Real Estate,Corn Belt,State,2017,7000.0
Iowa,Farm Real Estate,Corn Belt,State,2017,8000.0
Missouri,Farm Real Estate,Corn Belt,State,2017,3350.0
Ohio,Farm Real Estate,Corn Belt,State,2017,5650.0
Northern Plains,Farm Real Estate,Northern Plains,Region,2017,2200.0
Kansas,Farm Real Estate,Northern Plains,State,2017,1850.0
Nebraska,Farm Real Estate,Northern Plains,State,2017,2900.0
North Dakota,Farm Real Estate,Northern Plains,State,2017,1840.0
South Dakota,Farm Real Estate,Northern Plains,State,2017,2180.0
Appalachian,Farm Real Estate,Appalachian,Region,2017,3800.0
Kentucky,Farm Real Estate,Appalachian,State,2017,3420.0
North Carolina,Farm Real Estate,Appalachian,State,2017,4450.0
Tennessee,Farm Real Estate,Appalachian,State,2017,3750.0
Virginia,Farm Real Estate,Appalachian,State,2017,4350.0
West Virginia,Farm Real Estate,Appalachian,State,2017,2570.0
Southeast,Farm Real Estate,Southeast,Region,2017,3870.0
Alabama,Farm Real Estate,Southeast,State,2017,2750.0
Florida,Farm Real Estate,Southeast,State,2017,5700.0
Georgia,Farm Real Estate,Southeast,State,2017,3550.0
South Carolina,Farm Real Estate,Southeast,State,2017,3000.0
Delta,Farm Real Estate,Delta States,Region,2017,2910.0
Arkansas,Farm Real Estate,Delta States,State,2017,3180.0
Louisiana,Farm Real Estate,Delta States,State,2017,3000.0
Mississippi,Farm Real Estate,Delta States,State,2017,2500.0
Southern Plains,Farm Real Estate,Southern Plains,Region,2017,2050.0
Oklahoma,Farm Real Estate,Southern Plains,State,2017,1900.0
Texas,Farm Real Estate,Southern Plains,State,2017,2090.0
Mountain,Farm Real Estate,Mountain,Region,2017,1130.0
Arizona,Farm Real Estate,Mountain,State,2017,4100.0
Colorado,Farm Real Estate,Mountain,State,2017,1430.0
Idaho,Farm Real Estate,Mountain,State,2017,2600.0
Montana,Farm Real Estate,Mountain,State,2017,920.0
Nevada,Farm Real Estate,Mountain,State,2017,1110.0
New Mexico,Farm Real Estate,Mountain,State,2017,530.0
Utah,Farm Real Estate,Mountain,State,2017,2070.0
Wyoming,Farm Real Estate,Mountain,State,2017,660.0
Pacific,Farm Real Estate,Pacific,Region,2017,5370.0
California,Farm Real Estate,Pacific,State,2017,8700.0
Oregon,Farm Real Estate,Pacific,State,2017,2310.0
Washington,Farm Real Estate,Pacific,State,2017,3000.0
United States,Farm Real Estate,Continental U.S.,Region,2017,3080.0
Northeast,Cropland,Northeast,Region,2007,5350.0
Delaware,Cropland,Northeast,State,2007,10200.0
Maryland,Cropland,Northeast,State,2007,8400.0
New Jersey,Cropland,Northeast,State,2007,16000.0
New York,Cropland,Northeast,State,2007,1900.0
Pennsylvania,Cropland,Northeast,State,2007,5330.0
Other States,Cropland,Northeast,State,2007,7690.0
Lake,Cropland,Lake States,Region,2007,2830.0
Michigan,Cropland,Lake States,State,2007,3280.0
Minnesota,Cropland,Lake States,State,2007,2420.0
Wisconsin,Cropland,Lake States,State,2007,3370.0
Corn Belt,Cropland,Corn Belt,Region,2007,3530.0
Illinois,Cropland,Corn Belt,State,2007,4150.0
Indiana,Cropland,Corn Belt,State,2007,3640.0
Iowa,Cropland,Corn Belt,State,2007,3600.0
Missouri,Cropland,Corn Belt,State,2007,2330.0
Ohio,Cropland,Corn Belt,State,2007,3820.0
Northern Plains,Cropland,Northern Plains,Region,2007,1090.0
Kansas,Cropland,Northern Plains,State,2007,914.0
Nebraska,Cropland,Northern Plains,State,2007,1760.0
North Dakota,Cropland,Northern Plains,State,2007,670.0
South Dakota,Cropland,Northern Plains,State,2007,1180.0
Appalachian,Cropland,Appalachian,Region,2007,3570.0
Kentucky,Cropland,Appalachian,State,2007,2930.0
North Carolina,Cropland,Appalachian,State,2007,3720.0
Tennessee,Cropland,Appalachian,State,2007,3200.0
Virginia,Cropland,Appalachian,State,2007,5250.0
West Virginia,Cropland,Appalachian,State,2007,3600.0
Southeast,Cropland,Southeast,Region,2007,4180.0
Alabama,Cropland,Southeast,State,2007,2450.0
Florida,Cropland,Southeast,State,2007,6860.0
Georgia,Cropland,Southeast,State,2007,4290.0
South Carolina,Cropland,Southeast,State,2007,2430.0
Delta,Cropland,Delta States,Region,2007,1690.0
Arkansas,Cropland,Delta States,State,2007,1680.0
Louisiana,Cropland,Delta States,State,2007,1690.0
Mississippi,Cropland,Delta States,State,2007,1710.0
Southern Plains,Cropland,Southern Plains,Region,2007,1250.0
Oklahoma,Cropland,Southern Plains,State,2007,979.0
Texas,Cropland,Southern Plains,State,2007,1360.0
Mountain,Cropland,Mountain,Region,2007,1640.0
Arizona,Cropland,Mountain,State,2007,10800.0
Colorado,Cropland,Mountain,State,2007,1270.0
Idaho,Cropland,Mountain,State,2007,2770.0
Montana,Cropland,Mountain,State,2007,784.0
Nevada,Cropland,Mountain,State,2007,2720.0
New Mexico,Cropland,Mountain,State,2007,1570.0
Utah,Cropland,Mountain,State,2007,2940.0
Wyoming,Cropland,Mountain,State,2007,1150.0
Pacific,Cropland,Pacific,Region,2007,5420.0
California,Cropland,Pacific,State,2007,9700.0
Oregon,Cropland,Pacific,State,2007,2280.0
Washington,Cropland,Pacific,State,2007,1700.0
United States,Cropland,Continental U.S.,Region,2007,2530.0
Northeast,Cropland,Northeast,Region,2008,5590.0
Delaware,Cropland,Northeast,State,2008,9800.0
Maryland,Cropland,Northeast,State,2008,7800.0
New Jersey,Cropland,Northeast,State,2008,15600.0
New York,Cropland,Northeast,State,2008,2150.0
Pennsylvania,Cropland,Northeast,State,2008,6000.0
Other States,Cropland,Northeast,State,2008,7930.0
Lake,Cropland,Lake States,Region,2008,3080.0
Michigan,Cropland,Lake States,State,2008,3480.0
Minnesota,Cropland,Lake States,State,2008,2700.0
Wisconsin,Cropland,Lake States,State,2008,3600.0
Corn Belt,Cropland,Corn Belt,Region,2008,4030.0
Illinois,Cropland,Corn Belt,State,2008,4850.0
Indiana,Cropland,Corn Belt,State,2008,4140.0
Iowa,Cropland,Corn Belt,State,2008,4260.0
Missouri,Cropland,Corn Belt,State,2008,2500.0
Ohio,Cropland,Corn Belt,State,2008,4140.0
Northern Plains,Cropland,Northern Plains,Region,2008,1280.0
Kansas,Cropland,Northern Plains,State,2008,1020.0
Nebraska,Cropland,Northern Plains,State,2008,2050.0
North Dakota,Cropland,Northern Plains,State,2008,810.0
South Dakota,Cropland,Northern Plains,State,2008,1400.0
Appalachian,Cropland,Appalachian,Region,2008,3730.0
Kentucky,Cropland,Appalachian,State,2008,3100.0
North Carolina,Cropland,Appalachian,State,2008,3850.0
Tennessee,Cropland,Appalachian,State,2008,3400.0
Virginia,Cropland,Appalachian,State,2008,5350.0
West Virginia,Cropland,Appalachian,State,2008,3800.0
Southeast,Cropland,Southeast,Region,2008,4380.0
Alabama,Cropland,Southeast,State,2008,2650.0
Florida,Cropland,Southeast,State,2008,6980.0
Georgia,Cropland,Southeast,State,2008,4540.0
South Carolina,Cropland,Southeast,State,2008,2610.0
Delta,Cropland,Delta States,Region,2008,1800.0
Arkansas,Cropland,Delta States,State,2008,1770.0
Louisiana,Cropland,Delta States,State,2008,1830.0
Mississippi,Cropland,Delta States,State,2008,1810.0
Southern Plains,Cropland,Southern Plains,Region,2008,1390.0
Oklahoma,Cropland,Southern Plains,State,2008,1110.0
Texas,Cropland,Southern Plains,State,2008,1500.0
Mountain,Cropland,Mountain,Region,2008,1670.0
Arizona,Cropland,Mountain,State,2008,11500.0
Colorado,Cropland,Mountain,State,2008,1310.0
Idaho,Cropland,Mountain,State,2008,2800.0
Montana,Cropland,Mountain,State,2008,811.0
Nevada,Cropland,Mountain,State,2008,2740.0
New Mexico,Cropland,Mountain,State,2008,1630.0
Utah,Cropland,Mountain,State,2008,2700.0
Wyoming,Cropland,Mountain,State,2008,1180.0
Pacific,Cropland,Pacific,Region,2008,5570.0
California,Cropland,Pacific,State,2008,9880.0
Oregon,Cropland,Pacific,State,2008,2380.0
Washington,Cropland,Pacific,State,2008,1830.0
United States,Cropland,Continental U.S.,Region,2008,2760.0
Northeast,Cropland,Northeast,Region,2009,5340.0
Delaware,Cropland,Northeast,State,2009,8500.0
Maryland,Cropland,Northeast,State,2009,7300.0
New Jersey,Cropland,Northeast,State,2009,14000.0
New York,Cropland,Northeast,State,2009,2200.0
Pennsylvania,Cropland,Northeast,State,2009,5700.0
Other States,Cropland,Northeast,State,2009,7570.0
Lake,Cropland,Lake States,Region,2009,3020.0
Michigan,Cropland,Lake States,State,2009,3370.0
Minnesota,Cropland,Lake States,State,2009,2610.0
Wisconsin,Cropland,Lake States,State,2009,3650.0
Corn Belt,Cropland,Corn Belt,Region,2009,3910.0
Illinois,Cropland,Corn Belt,State,2009,4670.0
Indiana,Cropland,Corn Belt,State,2009,3950.0
Iowa,Cropland,Corn Belt,State,2009,4050.0
Missouri,Cropland,Corn Belt,State,2009,2540.0
Ohio,Cropland,Corn Belt,State,2009,3900.0
Northern Plains,Cropland,Northern Plains,Region,2009,1300.0
Kansas,Cropland,Northern Plains,State,2009,1050.0
Nebraska,Cropland,Northern Plains,State,2009,2180.0
North Dakota,Cropland,Northern Plains,State,2009,800.0
South Dakota,Cropland,Northern Plains,State,2009,1400.0
Appalachian,Cropland,Appalachian,Region,2009,3600.0
Kentucky,Cropland,Appalachian,State,2009,3150.0
North Carolina,Cropland,Appalachian,State,2009,3770.0
Tennessee,Cropland,Appalachian,State,2009,3270.0
Virginia,Cropland,Appalachian,State,2009,5000.0
West Virginia,Cropland,Appalachian,State,2009,3500.0
Southeast,Cropland,Southeast,Region,2009,3960.0
Alabama,Cropland,Southeast,State,2009,2500.0
Florida,Cropland,Southeast,State,2009,6430.0
Georgia,Cropland,Southeast,State,2009,4050.0
South Carolina,Cropland,Southeast,State,2009,2500.0
Delta,Cropland,Delta States,Region,2009,1810.0
Arkansas,Cropland,Delta States,State,2009,1860.0
Louisiana,Cropland,Delta States,State,2009,1740.0
Mississippi,Cropland,Delta States,State,2009,1810.0
Southern Plains,Cropland,Southern Plains,Region,2009,1380.0
Oklahoma,Cropland,Southern Plains,State,2009,1130.0
Texas,Cropland,Southern Plains,State,2009,1480.0
Mountain,Cropland,Mountain,Region,2009,1610.0
Arizona,Cropland,Mountain,State,2009,10000.0
Colorado,Cropland,Mountain,State,2009,1300.0
Idaho,Cropland,Mountain,State,2009,2610.0
Montana,Cropland,Mountain,State,2009,787.0
Nevada,Cropland,Mountain,State,2009,2700.0
New Mexico,Cropland,Mountain,State,2009,1810.0
Utah,Cropland,Mountain,State,2009,2810.0
Wyoming,Cropland,Mountain,State,2009,1177.0
Pacific,Cropland,Pacific,Region,2009,5210.0
California,Cropland,Pacific,State,2009,9480.0
Oregon,Cropland,Pacific,State,2009,2340.0
Washington,Cropland,Pacific,State,2009,1790.0
United States,Cropland,Continental U.S.,Region,2009,2670.0
Northeast,Cropland,Northeast,Region,2010,5270.0
Delaware,Cropland,Northeast,State,2010,7930.0
Maryland,Cropland,Northeast,State,2010,6790.0
New Jersey,Cropland,Northeast,State,2010,13300.0
New York,Cropland,Northeast,State,2010,2400.0
Pennsylvania,Cropland,Northeast,State,2010,5710.0
Other States,Cropland,Northeast,State,2010,7220.0
Lake,Cropland,Lake States,Region,2010,3010.0
Michigan,Cropland,Lake States,State,2010,3160.0
Minnesota,Cropland,Lake States,State,2010,2710.0
Wisconsin,Cropland,Lake States,State,2010,3550.0
Corn Belt,Cropland,Corn Belt,Region,2010,4090.0
Illinois,Cropland,Corn Belt,State,2010,4720.0
Indiana,Cropland,Corn Belt,State,2010,4270.0
Iowa,Cropland,Corn Belt,State,2010,4450.0
Missouri,Cropland,Corn Belt,State,2010,2600.0
Ohio,Cropland,Corn Belt,State,2010,3900.0
Northern Plains,Cropland,Northern Plains,Region,2010,1410.0
Kansas,Cropland,Northern Plains,State,2010,1110.0
Nebraska,Cropland,Northern Plains,State,2010,2430.0
North Dakota,Cropland,Northern Plains,State,2010,840.0
South Dakota,Cropland,Northern Plains,State,2010,1520.0
Appalachian,Cropland,Appalachian,Region,2010,3490.0
Kentucky,Cropland,Appalachian,State,2010,3070.0
North Carolina,Cropland,Appalachian,State,2010,3650.0
Tennessee,Cropland,Appalachian,State,2010,3310.0
Virginia,Cropland,Appalachian,State,2010,4600.0
West Virginia,Cropland,Appalachian,State,2010,3300.0
Southeast,Cropland,Southeast,Region,2010,3800.0
Alabama,Cropland,Southeast,State,2010,2630.0
Florida,Cropland,Southeast,State,2010,6550.0
Georgia,Cropland,Southeast,State,2010,3390.0
South Carolina,Cropland,Southeast,State,2010,2560.0
Delta,Cropland,Delta States,Region,2010,1890.0
Arkansas,Cropland,Delta States,State,2010,1910.0
Louisiana,Cropland,Delta States,State,2010,1800.0
Mississippi,Cropland,Delta States,State,2010,1950.0
